id,post_title,post_excerpt,post_content,sku,stock,stock_status,backorders,manage_stock,regular_price,sale_price,weight,length,width,height,tax_status,upsell_ids,crosssell_ids,featured,sale_price_dates_from,sale_price_dates_to,images,tax:product_type,tax:product_cat,tax:product_tag
1,Seared Oak Zola Console,"A beautiful, contemporary console with a time-worn French Oak top","Featuring boards of oak that are scraped by hand and sanded to give the look of old time-worn floorboards, the contemporary leg fabricated from fine rods of steel offset and enhance the Oak top.",CON1001,1,instock,no,yes,49500,,0,150,45,80,taxable,1|2|4,1|3,no,,,CON1001_Seared_Zola_Console_Front.jpg,simple,Furniture > Tables > Consoles,
2,Raw Oak Zola Console,,,CON1002,1,instock,no,yes,49500,,0,150,45,80,taxable,1|2|5,1|4,no,,,CON1002_Raw_Zola_Console_Front.jpg,simple,Furniture > Seating > Dining Chairs,
3,Seared Oak Eska Dining Chair,"An  elegant, sleek dining chair that combines quality & comfort","This piece features solid oak construction is available in a seared and raw finish. Made of PEFC certified French Oak, the Eska chairs clean, sleek lines make it a lovely addition to any contemporary dining space.",DCH1001,20,instock,no,yes,19500,,0,46,54,91,taxable,1|2|6,1|5,no,,,DCH_1001_Seared_Eska_Front.jpg | DCH_1001_Seared_Eska_Front_Right.jpg | DCH_1001_Seared_Eska_Side.jpg,simple,Furniture > Seating > Dining Chairs,
4,Raw Oak Eska Dining Chair,,,DCH1002,20,instock,no,yes,19500,,0,46,54,91,taxable,1|2|7,1|6,no,,,,simple,Furniture > Seating > Dining Chairs,
5,Seared Oak Turned Dining Chair,A retro modern dining chair,"Available in a seared oak finish, the Turned dining chair  combines the retro design with contemporary comfort.",DCH1101,20,instock,no,yes,19500,,0,50,60,84,taxable,1|2|9,1|8,no,,,DCH1101_Turned_Front.jpg | DCH1101_Turned_Front_Right.jpg | DCH1101_Turned_Side.jpg,simple,Furniture > Tables > Side Tables,
6,MyLoft Sofa,The perfect couch to chill and relax in,"The ideal sofa for anyone looking to add a couch with the purpose of putting your feet up and relaxing. With the added functionality of becoming a single bed, it’s a perfect Sunday afternoon",SOF1001,2,instock,no,yes,149000,,0,234,95,30,taxable,1|2|10,1|9,no,,,SOF1001_MyLoft_Front.jpg | SOF1001_MyLoft_Front_2.jpg | SOF1001_MyLoft_Front_Right.jpg | SOF1001_MyLoft_Side.jpg,simple,,
7,StackedBooks Side Table,"Inspired from books, your perfect armchair & sofa companion","This side table won't fail to catch your eye. With a design inspired from books, and funcationality inspired from a lack of space, this side table is perfect for your bedroom, living room or library. ",STH1001,1,instock,no,yes,15000,,0,45,45,40,taxable,1|2|11,1|10,yes,,,STH1001_StackedBooks_Front.jpg | STH1001_StackedBooks_Open.jpg | STH1001_StackedBooks_Front_Right.jpg,simple,,
8,Ella 1059 Sofa,The perfect retro modern sofa for all sizes and homes,"Compact, comfortable, stylish. This sums up Ella, our best selling retro-modern sofa. With a depth of just 2'6"", sit on it to believe its comfort. ",SOF1101,5,instock,no,yes,89000,,0,176,82,81,taxable,1|2|12,1|11,yes,,,SOF1101_Ella_1059_Sofa_Front.jpg | SOF1101_Ella_1059_Sofa_Front_Right.jpg | SOF1101_Ella_1059_Sofa_Side.jpg,simple,,
9,Ella 1059 Loveseat,The perfect retro modern sofa for all sizes and homes,"Compact, comfortable, stylish. This sums up Ella, our best selling retro-modern sofa. With a depth of just 2'6"", sit on it to believe its comfort. ",SOF1201,5,instock,no,yes,69000,,0,126,82,81,taxable,1|2|11,1|10,yes,,,SOF1201_Ella_1059_Loveseat_Front.jpg | SOF1201_Ella_1059_Loveseat_Front_Right.jpg | SOF1201_Ella_1059_Loveseat_Side.jpg,simple,,
10,Donovan Rocker Recliner,"A manual recliner that rocks, swivels and well, reclines","Without the bulk of a traditional lazyboy, feel the comfort with the added feature of rocking as you read, relax or enjoy a movie",RCH1001,5,instock,no,yes,119000,,0,83,95,105,taxable,1|2|12,1|11,yes,,,RCH1001_Donovan_Recliner_Front.jpg | RCH1001_Donovan_Recliner_Front_Right.jpg | RCH1001_Donovan_Recliner_Side.jpg,simple,,
